term	reading	frequency	kana_frequency
の	の	1	
は	は	2	
に	に	3	
を	を	4	
と	と	5	
も	も	6	
が	が	7	
で	で	8	
から	から	9	
だ	だ	10	
する	する	11	
か	か	12	
よ	よ	13	
ある	ある	14	
こと	こと	15	
なる	なる	16	
それ	それ	17	
いる	いる	18	
ね	ね	19	
思う	おもう	20	9493
この	この	21	
には	には	22	
でも	でも	23	
です	です	24	
その	その	25	
な	な	26	
言う	いう	27	86
って	って	28	
ない	ない	29	
んだ	んだ	30	
そう	そう	31	
私	わたし	32	1308
いい	いい	33	
これ	これ	34	
だった	だった	35	
見る	みる	36	110
だけ	だけ	37	
くる	くる	38	
さん	さん	39	
くれる	くれる	40	
やる	やる	41	
まで	まで	42	
もの	もの	43	
行く	いく	44	65
という	という	45	
もう	もう	46	
だから	だから	47	
そんな	そんな	48	
あの	あの	49	
だろう	だろう	50	
しまう	しまう	52	
来る	くる	53	38
ん	ん	54	
人	ひと	55	1876
ここ	ここ	56	
や	や	57	
し	し	58	
お	お	59	
とする	とする	60	
自分	じぶん	61	21298
じゃない	じゃない	62	
知る	しる	63	5092
なら	なら	64	
いく	いく	65	
わ	わ	66	
今	いま	67	1481
聞く	きく	68	2585
へ	へ	69	
ような	ような	70	
とは	とは	71	
何	なに	72	493
前	まえ	73	3288
出る	でる	74	1230
中	なか	75	1903
にも	にも	76	
ように	ように	77	
顔	かお	78	21491
である	である	79	
んです	んです	80	
また	また	81	
ながら	ながら	82	
なんて	なんて	83	
考える	かんがえる	84	34291
どう	どう	85	
いう	いう	86	
さ	さ	87	
そして	そして	88	
ため	ため	89	
まだ	まだ	90	
いや	いや	91	
ちょっと	ちょっと	92	
のに	のに	93	
できる	できる	94	
話	はなし	95	22696
とか	とか	96	
ぞ	ぞ	97	
そこ	そこ	98	
なの	なの	99	
ではない	ではない	100	
何	なん	101	151
待つ	まつ	102	3798
ので	ので	103	
ところ	ところ	104	
だって	だって	105	
だが	だが	106	
たち	たち	107	
こんな	こんな	108	
持つ	もつ	109	962
みる	みる	110	
声	こえ	111	27385
もらう	もらう	112	
入る	はいる	113	3389
手	て	114	
ですか	ですか	115	
見える	みえる	116	5999
方	ほう	117	530
目	め	118	
男	おとこ	119	31384
本当	ほんとう	120	6799
あなた	あなた	121	
今日	きょう	122	6099
ほど	ほど	123	
言葉	ことば	124	9678
らしい	らしい	125	
として	として	126	
など	など	127	
ただ	ただ	128	
しかし	しかし	129	
かな	かな	130	
違う	ちがう	131	3489
使う	つかう	132	7296
少し	すこし	133	5486
より	より	134	
時	とき	135	215
家	いえ	136	108601
あれ	あれ	137	
彼	かれ	138	8692
よい	よい	139	
人間	にんげん	140	37285
同じ	おなじ	141	12892
上	うえ	142	2329
よく	よく	143	
よう	よう	144	
とも	とも	145	
でしょう	でしょう	146	
出す	だす	147	961
どこ	どこ	148	
しか	しか	149	
悪い	わるい	150	8995
なん	なん	151	
時間	じかん	152	58496
部屋	へや	153	25995
わけ	わけ	154	
おく	おく	155	
かもしれない	かもしれない	156	
作る	つくる	157	2146
まま	まま	158	
て	て	159	
早い	はやい	160	5680
感じる	かんじる	161	51789
呼ぶ	よぶ	162	9886
話す	はなす	163	13581
何か	なにか	164	12785
のように	のように	165	
死ぬ	しぬ	166	30688
姿	すがた	167	15299
頭	あたま	168	15990
強い	つよい	169	13084
こう	こう	170	
いつも	いつも	171	
会う	あう	172	7503
ばかり	ばかり	173	
一緒に	いっしょに	174	4489
好き	すき	175	12502
相手	あいて	176	46490
帰る	かえる	177	
みんな	みんな	178	
音	おと	179	22799
うち	うち	180	
ずっと	ずっと	181	
のです	のです	182	
でした	でした	183	
食べる	たべる	184	13390
場所	ばしょ	185	56485
あと	あと	186	
どうして	どうして	187	
もっと	もっと	188	
くらい	くらい	189	
世界	せかい	190	39188
あげる	あげる	191	
戻る	もどる	192	8882
力	ちから	193	23487
仕事	しごと	194	31991
必要	ひつよう	195	63787
続ける	つづける	196	4298
つもり	つもり	197	
どんな	どんな	198	
誰	だれ	199	4887
による	による	200	
次	つぎ	201	13182
かける	かける	202	
見せる	みせる	203	860
動く	うごく	204	18386
となる	となる	205	
はず	はず	206	
子	こ	207	
歩く	あるく	208	20000
こちら	こちら	209	
きっと	きっと	210	
意味	いみ	211	37890
終わる	おわる	212	16189
変わる	かわる	213	7698
すぐに	すぐに	214	
とき	とき	215	
気持ち	きもち	216	19095
始める	はじめる	217	1807
大きい	おおきい	218	28070
ことになる	ことになる	219	
向かう	むかう	220	10093
何も	なにも	221	8984
受ける	うける	222	6484
日	ひ	223	
年	ねん	224	26702
心配	しんぱい	225	45798
教える	おしえる	226	26299
心	こころ	227	12690
立つ	たつ	228	14801
おる	おる	229	
やめる	やめる	230	
外	そと	231	17888
間	あいだ	232	8400
について	について	233	
よりも	よりも	234	
後	あと	235	186
様子	ようす	236	13598
忘れる	わすれる	237	18580
口	くち	238	9993
にとって	にとって	239	
名前	なまえ	240	43384
大きな	おおきな	241	34200
信じる	しんじる	242	46282
すぎる	すぎる	243	
なのに	なのに	244	
生きる	いきる	245	23587
問題	もんだい	246	45785
理由	りゆう	247	57387
それでも	それでも	248	
これから	これから	249	
以上	いじょう	250	45289
逃げる	にげる	251	19998
多い	おおい	252	25391
そういう	そういう	253	
絶対	ぜったい	254	11387
開く	ひらく	255	9293
今度	こんど	256	9189
最後	さいご	257	29198
最初	さいしょ	258	38696
こそ	こそ	259	
存在	そんざい	260	93161
誰か	だれか	261	8899
初めて	はじめて	262	3700
書く	かく	263	
取る	とる	264	431
高い	たかい	265	26484
もちろん	もちろん	266	
かも	かも	267	
べき	べき	268	
入れる	いれる	269	40500
体	からだ	270	5485
答える	こたえる	271	9497
そのまま	そのまま	272	
置く	おく	273	155
覚える	おぼえる	274	10692
あり	あり	275	
無理	むり	276	14486
ご	ご	277	
残る	のこる	278	17588
いけない	いけない	279	
長い	ながい	280	14193
普通	ふつう	281	9290
どういう	どういう	282	
守る	まもる	283	18589
とても	とても	284	
楽しい	たのしい	285	18989
どこか	どこか	286	
夜	よる	287	53101
感じ	かんじ	288	26190
気	き	289	
許す	ゆるす	290	10595
もし	もし	291	
驚く	おどろく	292	12691
別に	べつに	293	5190
離れる	はなれる	294	7088
いつ	いつ	295	
消える	きえる	296	29799
助ける	たすける	297	15297
止める	とめる	298	5587
困る	こまる	299	16496
かかる	かかる	300	
もの	もの	301	
人	にん	302	60392
中	ちゅう	303	9580
方	かた	304	4189
飲む	のむ	305	7182
走る	はしる	306	30191
以外	いがい	307	54496
下	した	308	119792
買う	かう	309	4585
足	あし	310	11089
説明	せつめい	311	88517
読む	よむ	312	19896
女性	じょせい	313	
落ちる	おちる	314	11495
このまま	このまま	315	
つける	つける	316	
起きる	おきる	317	13200
あまり	あまり	318	
ことができる	ことができる	319	
続く	つづく	320	8492
すぐ	すぐ	321	
決める	きめる	322	12398
でもない	でもない	323	
状況	じょうきょう	324	117664
関係	かんけい	325	70793
ことがある	ことがある	326	
いただく	いただく	327	
先	さき	328	17995
伝える	つたえる	329	30594
ようになる	ようになる	330	
先に	さきに	331	16892
夢	ゆめ	332	23097
誰も	だれも	333	9500
小さい	ちいさい	334	25697
選ぶ	えらぶ	335	25282
こういう	こういう	336	
理解	りかい	337	142053
ですが	ですが	338	
場合	ばあい	339	40194
得る	える	340	1034
深い	ふかい	341	20798
見つける	みつける	342	13592
一度	いちど	343	22499
ほしい	ほしい	344	
なぜ	なぜ	345	
昔	むかし	346	13892
水	みず	347	21694
近く	ちかく	348	39380
進む	すすむ	349	14787
大変	たいへん	350	6585
としても	としても	351	
道	みち	352	17597
簡単	かんたん	353	24488
変える	かえる	354	6983
別	べつ	355	47900
なので	なので	356	
本	ほん	357	9989
完全	かんぜん	358	78501
状態	じょうたい	359	95343
しっかり	しっかり	360	
行う	おこなう	361	11993
送る	おくる	362	5987
形	かたち	363	9188
上げる	あげる	364	191
近づく	ちかづく	365	49797
乗る	のる	366	5088
与える	あたえる	367	18398
勝手	かって	368	26900
的	てき	369	43698
結果	けっか	370	63199
ために	ために	371	
朝	あさ	372	7978
新しい	あたらしい	373	32084
急	きゅう	374	18571
ようにする	ようにする	375	
自分で	じぶんで	376	52489
元	もと	377	2802
最近	さいきん	378	62592
大	だい	379	27001
決まる	きまる	380	11885
準備	じゅんび	381	64181
近い	ちかい	382	22587
失う	うしなう	383	31896
不安	ふあん	384	60782
残す	のこす	385	22684
安心	あんしん	386	58093
大事	だいじ	387	14785
ほとんど	ほとんど	388	
認める	みとめる	389	30193
特に	とくに	390	6595
求める	もとめる	391	22700
用意	ようい	392	28800
少ない	すくない	393	30087
まず	まず	394	
ことにする	ことにする	395	
始まる	はじまる	396	6086
家族	かぞく	397	68796
似る	にる	398	41989
用	よう	399	
元気	げんき	400	40288
後	ご	401	
に対して	にたいして	402	20289
生む	うむ	403	15996
思い	おもい	404	41186
なかなか	なかなか	405	
たくさん	たくさん	406	
目的	もくてき	407	106735
合う	あう	408	2179
生活	せいかつ	409	90878
方法	ほうほう	410	19900
なくなる	なくなる	411	
切る	きる	412	717
分	ぶん	413	5993
つく	つく	414	
としては	としては	415	
十分	じゅうぶん	416	16284
働く	はたらく	417	23099
若い	わかい	418	32184
歳	さい	419	54501
調べる	しらべる	420	27793
急ぐ	いそぐ	421	16899
必ず	かならず	422	13187
かどうか	かどうか	423	
途中	とちゅう	424	43484
側	がわ	425	16299
見つかる	みつかる	426	22596
重い	おもい	427	30199
期待	きたい	428	40977
集まる	あつまる	429	29394
その後	そのあと	430	2630
とる	とる	431	
ないと	ないと	432	
考え	かんがえ	433	73192
住む	すむ	434	73001
大切	たいせつ	435	33683
毎日	まいにち	436	61700
広い	ひろい	437	18287
やすい	やすい	438	
自由	じゆう	439	56591
になると	になると	440	
ないか	ないか	441	
原因	げんいん	442	141353
けど	けど	443	
俺	おれ	444	3086
ああ	ああ	445	
はい	はい	446	
じゃ	じゃ	447	
うん	うん	448	
お前	おまえ	449	3100
彼女	かのじょ	450	63886
みたい	みたい	451	
大丈夫	だいじょうぶ	452	8392
ちゃん	ちゃん	453	
よね	よね	454	
わかる	わかる	455	
え	え	456	
あっ	あっ	457	
僕	ぼく	458	3199
なんか	なんか	459	
ください	ください	460	
笑う	わらう	461	23383
なんだ	なんだ	462	
なんだ	なんだ	463	
じゃあ	じゃあ	464	
分かる	わかる	465	455
様	さま	466	1379
まあ	まあ	467	
だろ	だろ	468	
ええ	ええ	469	
女	おんな	470	25086
君	きみ	471	8200
君	くん	472	3099
だけど	だけど	473	
二人	ふたり	474	3187
者	もの	475	79601
やっぱり	やっぱり	476	
でしょ	でしょ	477	
えっ	えっ	478	
ちゃんと	ちゃんと	479	
こっち	こっち	480	
すごい	すごい	481	
確かに	たしかに	482	3180
聞こえる	きこえる	483	14981
なんで	なんで	484	
先生	せんせい	485	24387
だろうか	だろうか	486	
まさか	まさか	487	
ようだ	ようだ	488	
ねえ	ねえ	489	
そうだ	そうだ	490	
なんです	なんです	491	
けれど	けれど	492	
なに	なに	493	
まるで	まるで	494	
他	ほか	495	1263
殺す	ころす	496	25494
事	こと	497	15
じゃないか	じゃないか	498	
胸	むね	499	21492
さっき	さっき	500	
そう	そう	501	
思い出す	おもいだす	502	58599
へと	へと	503	
あんた	あんた	504	
おい	おい	505	
一番	いちばん	506	4199
一人	ひとり	507	1846
ありがとう	ありがとう	508	
そうか	そうか	509	
頼む	たのむ	510	10583
一つ	ひとつ	511	1352
表情	ひょうじょう	512	91848
ごめん	ごめん	513	
怖い	こわい	514	4689
良い	よい	515	139
ゆっくり	ゆっくり	516	
つまり	つまり	517	
だったら	だったら	518	
腕	うで	519	21989
それから	それから	520	
ほら	ほら	521	
あ	あ	522	
欲しい	ほしい	523	344
やはり	やはり	524	
確認	かくにん	525	121840
そうです	そうです	526	
全部	ぜんぶ	527	8585
何度	なんど	528	27289
そんなに	そんなに	529	
ほう	ほう	530	
子供	こども	531	22895
二	に	532	
光	ひかり	533	18285
おかしい	おかしい	534	
寝る	ねる	535	7600
なのだ	なのだ	536	
なるほど	なるほど	537	
もん	もん	538	
小さな	ちいさな	539	23384
瞬間	しゅんかん	540	64376
気がする	きがする	541	76749
今まで	いままで	542	8682
優しい	やさしい	543	4588
嫌	いや	544	1602
あいつ	あいつ	545	
ううん	ううん	546	
明日	あした	547	8592
泣く	なく	548	30783
頑張る	がんばる	549	3190
怒る	おこる	550	166687
はずだ	はずだ	551	
あんな	あんな	552	
娘	むすめ	553	29288
今回	こんかい	554	79910
やつ	やつ	555	
昨日	きのう	556	11587
ですから	ですから	557	
かしら	かしら	558	
変	へん	559	6101
探す	さがす	560	10586
しかも	しかも	561	
返す	かえす	562	10283
国	くに	563	14389
なあ	なあ	564	
当然	とうぜん	565	30792
座る	すわる	566	11496
でしょうか	でしょうか	567	
つつ	つつ	568	
ではある	ではある	569	
黙る	だまる	570	9994
気づく	きづく	571	55691
しばらく	しばらく	572	
いえ	いえ	573	
隠す	かくす	574	15093
気になる	きになる	575	54698
奥	おく	576	27701
向ける	むける	577	40696
笑顔	えがお	578	69480
かなり	かなり	579	
軽い	かるい	580	17997
目の前	めのまえ	581	93700
お願い	おねがい	582	14088
開ける	あける	583	4191
せい	せい	584	
まったく	まったく	585	
女の子	おんなのこ	586	62397
こんなに	こんなに	587	
しかない	しかない	588	
ならば	ならば	589	
とにかく	とにかく	590	
ことはない	ことはない	591	
痛い	いたい	592	4700
敵	てき	593	32286
一	いち	594	10096
実は	じつは	595	12899
後ろ	うしろ	596	8289
そこまで	そこまで	597	
物	もの	598	43
さらに	さらに	599	
髪	かみ	600	23700
もん	もん	601	
一瞬	いっしゅん	602	62699
落ち着く	おちつく	603	21586
どうした	どうした	604	
隣	となり	605	10697
不思議	ふしぎ	606	13296
戦う	たたかう	607	30183
さあ	さあ	608	
こいつ	こいつ	609	
現れる	あらわれる	610	9094
そろそろ	そろそろ	611	
私たち	わたしたち	612	3783
記憶	きおく	613	72987
彼ら	かれら	614	21285
すべて	すべて	615	
学校	がっこう	616	58596
さえ	さえ	617	
情報	じょうほう	618	95964
意識	いしき	619	93909
というのは	というのは	620	
肩	かた	621	272691
色	いろ	622	28080
触れる	ふれる	623	
勝つ	かつ	624	26901
結局	けっきょく	625	23183
三	さん	626	85401
全然	ぜんぜん	627	8300
上がる	あがる	628	2135
げ	げ	629	
動き	うごき	630	38784
白い	しろい	631	40497
指	ゆび	632	33800
可能性	かのうせい	633	161021
赤い	あかい	634	28071
失礼	しつれい	635	61695
幸せ	しあわせ	636	14498
負ける	まける	637	21683
背中	せなか	638	48984
反応	はんのう	639	142322
壁	かべ	640	33196
どうやら	どうやら	641	
いきなり	いきなり	642	
空	そら	643	60901
約束	やくそく	644	38387
血	ち	645	
服	ふく	646	15583
恥ずかしい	はずかしい	647	17896
過ぎる	すぎる	648	243
事実	じじつ	649	83982
静か	しずか	650	15882
すむ	すむ	651	
行動	こうどう	652	182933
突然	とつぜん	653	19083
友達	ともだち	654	25100
喜ぶ	よろこぶ	655	11596
止まる	とまる	656	6996
命	いのち	657	18789
自身	じしん	658	67798
想像	そうぞう	659	69298
面白い	おもしろい	660	3985
父	ちち	661	37794
身	み	662	
渡す	わたす	663	11093
名	な	664	
ようやく	ようやく	665	
全員	ぜんいん	666	110757
頃	ころ	667	1805
そもそも	そもそも	668	
空気	くうき	669	89356
再び	ふたたび	670	8697
着る	きる	671	46101
母	はは	672	81401
首	くび	673	18596
美しい	うつくしい	674	30786
一体	いったい	675	1448
店	みせ	676	59789
程度	ていど	677	38981
届く	とどく	678	16791
さて	さて	679	
難しい	むずかしい	680	10286
向こう	むこう	681	10798
神	かみ	682	20998
気分	きぶん	683	85856
耳	みみ	684	25684
ごめんなさい	ごめんなさい	685	
通り	とおり	686	1959
ひどい	ひどい	687	
むしろ	むしろ	688	
飛ぶ	とぶ	689	7481
眠る	ねむる	690	26491
仲間	なかま	691	39589
でない	でない	692	
さすがに	さすがに	693	
山	やま	694	10390
感情	かんじょう	695	
ぐらい	ぐらい	696	
結構	けっこう	697	3890
すら	すら	698	
危険	きけん	699	57887
以前	いぜん	700	227608
いる	いる	701	
あれ	あれ	702	
もう一度	もういちど	703	25382
ありがとうございます	ありがとうございます	704	
どうぞ	どうぞ	705	
済む	すむ	706	651
とりあえず	とりあえず	707	
任せる	まかせる	708	6292
遅い	おそい	709	15783
気にする	きにする	710	56887
いくら	いくら	711	
本気	ほんき	712	77615
あら	あら	713	
正直	しょうじき	714	89010
動かす	うごかす	715	27982
事件	じけん	716	84171
きる	きる	717	
そういえば	そういえば	718	
おりる	おりる	719	
起こす	おこす	720	12286
周囲	しゅうい	721	93113
海	うみ	722	27492
すでに	すでに	723	
叫ぶ	さけぶ	724	20495
引く	ひく	725	4590
返事	へんじ	726	57995
逆	ぎゃく	727	53492
捨てる	すてる	728	16190
甘い	あまい	729	19899
窓	まど	730	35990
遊ぶ	あそぶ	731	20793
結婚	けっこん	732	42484
おお	おお	733	
会話	かいわ	734	107222
戻ってくる	もどってくる	735	18887
どうしたの	どうしたの	736	
邪魔	じゃま	737	15289
腰	こし	738	17590
その時	そのとき	739	1482
うまい	うまい	740	
握る	にぎる	741	18296
確か	たしか	742	3891
いっぱい	いっぱい	743	
部分	ぶぶん	744	110724
無事	ぶじ	745	27998
せっかく	せっかく	746	
風	かぜ	747	
起こる	おこる	748	11385
であろう	であろう	749	
熱い	あつい	750	24302
意外	いがい	751	143361
これ以上	これいじょう	752	137588
間違いない	まちがいない	753	18195
流れる	ながれる	754	36677
花	はな	755	7488
涙	なみだ	756	35379
やってくる	やってくる	757	
倒れる	たおれる	758	28489
人生	じんせい	759	97126
一人で	ひとりで	760	3787
もう少し	もうすこし	761	22391
襲う	おそう	762	25584
所	ところ	763	104
料理	りょうり	764	83453
決して	けっして	765	13090
愛する	あいする	766	44792
黒い	くろい	767	49485
冷たい	つめたい	768	22488
合わせる	あわせる	769	5097
楽しむ	たのしむ	770	39686
自然	しぜん	771	42385
納得	なっとく	772	56199
周り	まわり	773	4495
どうも	どうも	774	
珍しい	めずらしい	775	10299
いいから	いいから	776	
どうしても	どうしても	777	
疲れる	つかれる	778	42889
必死	ひっし	779	58988
前に	まえに	780	11399
内	ない	781	180101
追う	おう	782	4204
激しい	はげしい	783	15595
場	ば	784	
食う	くう	785	5602
慣れる	なれる	786	7987
勢い	いきおい	787	28077
答え	こたえ	788	48794
落とす	おとす	789	17084
同時に	どうじに	790	116642
判断	はんだん	791	131392
横	よこ	792	18080
町	まち	793	15294
報告	ほうこく	794	105204
食事	しょくじ	795	84269
緊張	きんちょう	796	72693
金	かね	797	61001
受け取る	うけとる	798	33288
まずは	まずは	799	
感謝	かんしゃ	800	73587
ある	ある	801	
者	しゃ	802	
日本	にほん	803	49084
つい	つい	804	
並ぶ	ならぶ	805	14092
避ける	さける	806	22688
連絡	れんらく	807	75519
奪う	うばう	808	27795
過ごす	すごす	809	13985
狙う	ねらう	810	17799
向く	むく	811	
諦める	あきらめる	812	4491
足りる	たりる	813	27085
いろいろ	いろいろ	814	
そうする	そうする	815	
話をする	はなしをする	816	105030
望む	のぞむ	817	39199
一応	いちおう	818	13389
特別	とくべつ	819	40385
救う	すくう	820	197785
帰ってくる	かえってくる	821	27899
時代	じだい	822	83931
いらっしゃる	いらっしゃる	823	
いつか	いつか	824	
終わり	おわり	825	23800
語る	かたる	826	54498
繰り返す	くりかえす	827	17594
助かる	たすかる	828	43993
点	てん	829	28899
ところで	ところで	830	
運ぶ	はこぶ	831	30987
素直	すなお	832	31587
よし	よし	833	
態度	たいど	834	192717
失敗	しっぱい	835	64391
とこ	とこ	836	
全く	まったく	837	585
木	き	838	
それぞれ	それぞれ	839	
内容	ないよう	840	
と言われる	といわれる	841	4694
示す	しめす	842	22793
妙	みょう	843	27190
あんまり	あんまり	844	
冗談	じょうだん	845	35884
自ら	みずから	846	7980
低い	ひくい	847	32993
わざわざ	わざわざ	848	
そっち	そっち	849	
雰囲気	ふんいき	850	53785
はっきり	はっきり	851	
移動	いどう	852	81559
過去	かこ	853	314898
手伝う	てつだう	854	59676
描く	えがく	855	34897
余裕	よゆう	856	54185
なんとか	なんとか	857	
出会う	であう	858	35397
と言う	という	859	45
みせる	みせる	860	
やっと	やっと	861	
嫌い	きらい	862	12580
質問	しつもん	863	69583
人々	ひとびと	864	48179
どれ	どれ	865	
現実	げんじつ	866	106675
感覚	かんかく	867	91839
正しい	ただしい	868	44694
未来	みらい	869	43690
興味	きょうみ	870	97049
遠い	とおい	871	26195
ながらも	ながらも	872	
本人	ほんにん	873	250040
能力	のうりょく	874	150857
あの人	あのひと	875	26699
っぽい	っぽい	876	
それでは	それでは	877	
と言った	といった	878	920
その場	そのば	879	
事情	じじょう	880	116773
暗い	くらい	881	22101
あそこ	あそこ	882	
んで	んで	883	
休む	やすむ	884	33786
一緒	いっしょ	885	9481
おかげで	おかげで	886	
なさる	なさる	887	
息	いき	888	53601
これまで	これまで	889	
予定	よてい	890	132162
伝わる	つたわる	891	37899
距離	きょり	892	99654
どうせ	どうせ	893	
多く	おおく	894	67287
残念	ざんねん	895	28475
ま	ま	896	
終える	おえる	897	20894
覚悟	かくご	898	54794
勉強	べんきょう	899	53784
さすが	さすが	900	
上	じょう	901	60806
分	ふん	902	43101
風	ふう	903	2676
よし	よし	904	
だけに	だけに	905	
自信	じしん	906	268882
我慢	がまん	907	16394
相談	そうだん	908	75135
死	し	909	
増える	ふえる	910	22191
離す	はなす	911	
半分	はんぶん	912	65882
人物	じんぶつ	913	161599
回る	まわる	914	4589
親	おや	915	74701
弱い	よわい	916	32191
っけ	っけ	917	
立てる	たてる	918	6388
この人	このひと	919	22299
といった	といった	920	
降りる	おりる	921	719
打つ	うつ	922	4391
席	せき	923	39003
経験	けいけん	924	166526
よろしく	よろしく	925	
すっかり	すっかり	926	
現在	げんざい	927	89300
広がる	ひろがる	928	17198
に対する	にたいする	929	29600
振る	ふる	930	2177
集める	あつめる	931	26881
当たる	あたる	932	2707
直接	ちょくせつ	933	75095
数	かず	934	24397
明るい	あかるい	935	40892
ということは	ということは	936	
件	けん	937	8798
当たり前	あたりまえ	938	11598
お金	おかね	939	53195
抱える	かかえる	940	12993
連れる	つれる	941	2933
他人	たにん	942	136722
母親	ははおや	943	135888
忙しい	いそがしい	944	23078
寂しい	さびしい	945	12387
くださる	くださる	946	
どうか	どうか	947	
誘う	さそう	948	31087
いたす	いたす	949	
立場	たちば	950	168699
そのため	そのため	951	
他に	ほかに	952	2876
大好き	だいすき	953	22500
協力	きょうりょく	954	131342
抜ける	ぬける	955	13196
持ってくる	もってくる	956	10496
のみ	のみ	957	
詳しい	くわしい	958	16096
押す	おす	959	6078
愛	あい	960	76478
だす	だす	961	
もつ	もつ	962	
変化	へんか	963	44392
男性	だんせい	964	191396
ような気がする	ようなきがする	965	150579
車	くるま	966	39192
断る	ことわる	967	30686
利用	りよう	968	36185
熱	ねつ	969	64182
というもの	というもの	970	
抱く	いだく	971	17498
苦しい	くるしい	972	29788
最高	さいこう	973	52400
満足	まんぞく	974	67593
無視	むし	975	137873
余計	よけい	976	9896
一気に	いっきに	977	37488
どちら	どちら	978	
成功	せいこう	979	78825
限り	かぎり	980	4393
代わりに	かわりに	981	9197
ではないか	ではないか	982	
父親	ちちおや	983	141771
通る	とおる	984	17094
暮らす	くらす	985	26986
わけではない	わけではない	986	
雨	あめ	987	24688
写真	しゃしん	988	97090
火	ひ	989	
否定	ひてい	990	136183
借りる	かりる	991	7478
面倒	めんどう	992	25587
人たち	ひとたち	993	26689
厳しい	きびしい	994	17083
危ない	あぶない	995	12288
どっち	どっち	996	
どうやって	どうやって	997	
ときに	ときに	998	
今から	いまから	999	15393
参加	さんか	1000	7181
つく	つく	1001	
ああ	ああ	1002	
隠れる	かくれる	1003	15088
裏	うら	1004	7885
短い	みじかい	1005	43300
ちょうど	ちょうど	1006	
機会	きかい	1007	
恐ろしい	おそろしい	1008	9677
大人	おとな	1009	19875
売る	うる	1010	2809
輝く	かがやく	1011	22296
すぎ	すぎ	1012	
耐える	たえる	1013	43597
悲しい	かなしい	1014	26097
たとえ	たとえ	1015	
受け入れる	うけいれる	1016	66187
どうしよう	どうしよう	1017	
味	あじ	1018	44291
迷う	まよう	1019	45200
手に入れる	てにいれる	1020	111063
どんどん	どんどん	1021	
関係ない	かんけいない	1022	106859
秘密	ひみつ	1023	35900
部	ぶ	1024	
例	れい	1025	111293
いずれ	いずれ	1026	
それにしても	それにしても	1027	
包む	つつむ	1028	14794
川	かわ	1029	205301
着く	つく	1030	2301
明らか	あきらか	1031	12583
そのもの	そのもの	1032	
地	ち	1033	
える	える	1034	
願う	ねがう	1035	22860
位置	いち	1036	36990
方向	ほうこう	1037	48685
戻す	もどす	1038	15000
一部	いちぶ	1039	96633
客	きゃく	1040	57690
薄い	うすい	1041	10989
よろしい	よろしい	1042	
調子	ちょうし	1043	51493
迎える	むかえる	1044	27798
流す	ながす	1045	31287
新た	あらた	1046	24895
平気	へいき	1047	29586
外す	はずす	1048	8988
かもしれません	かもしれません	1049	
改めて	あらためて	1050	5984
どれだけ	どれだけ	1051	
進める	すすめる	1052	37001
において	において	1053	
うるさい	うるさい	1054	
去る	さる	1055	4785
腹	はら	1056	14690
それ以上	それいじょう	1057	189935
くせに	くせに	1058	
たまに	たまに	1059	
と思われる	とおもわれる	1060	72092
間違う	まちがう	1061	20789
実際	じっさい	1062	36684
皆さん	みなさん	1063	18884
悩む	なやむ	1064	42481
迫る	せまる	1065	20996
まだまだ	まだまだ	1066	
第一	だいいち	1067	25299
友人	ゆうじん	1068	165531
練習	れんしゅう	1069	79085
と同時に	とどうじに	1070	146889
まさに	まさに	1071	
疑う	うたがう	1072	43082
目指す	めざす	1073	22392
右	みぎ	1074	56682
消す	けす	1075	20400
気に入る	きにいる	1076	128406
払う	はらう	1077	14686
性格	せいかく	1078	234789
それまで	それまで	1079	
かつて	かつて	1080	
遠く	とおく	1081	62388
今後	こんご	1082	100468
発見	はっけん	1083	87287
ことがない	ことがない	1084	
同じよう	おなじよう	1085	40597
希望	きぼう	1086	78364
ついに	ついに	1087	
集中	しゅうちゅう	1088	153317
万	まん	1089	37194
効果	こうか	1090	40486
意見	いけん	1091	54992
何より	なにより	1092	4296
そのこと	そのこと	1093	
息子	むすこ	1094	45997
訪れる	おとずれる	1095	31700
であれば	であれば	1096	
証拠	しょうこ	1097	42997
一日	いちにち	1098	76696
月	つき	1099	
遠慮	えんりょ	1100	53896
時	じ	1101	
名	めい	1102	32902
数	すう	1103	63397
実際に	じっさいに	1104	51798
暇	ひま	1105	12998
影響	えいきょう	1106	116994
相当	そうとう	1107	21993
なし	なし	1108	
のせいで	のせいで	1109	
建物	たてもの	1110	80006
ほぼ	ほぼ	1111	
重要	じゅうよう	1112	162923
せめて	せめて	1113	
後悔	こうかい	1114	66592
誰にも	だれにも	1115	21299
いなくなる	いなくなる	1116	
紹介	しょうかい	1117	77899
疑問	ぎもん	1118	117612
速い	はやい	1119	5680
抜く	ぬく	1120	9592
楽	らく	1121	17800
予想	よそう	1122	170511
超える	こえる	1123	16883
努力	どりょく	1124	122048
円	えん	1125	61791
立派	りっぱ	1126	18899
一方	いっぽう	1127	31282
確実	かくじつ	1128	143861
当時	とうじ	1129	
妻	つま	1130	22595
通う	かよう	1131	28601
流れ	ながれ	1132	59684
責任	せきにん	1133	99127
偶然	ぐうぜん	1134	59899
作業	さぎょう	1135	
運命	うんめい	1136	96930
どの	どの	1137	
伸びる	のびる	1138	12780
下がる	さがる	1139	12893
気をつける	きをつける	1140	106002
可能	かのう	1141	70783
支える	ささえる	1142	29187
非常	ひじょう	1143	46295
一歩	いっぽ	1144	81757
最も	もっとも	1145	3401
